# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +4.6467000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-1.0000000000000001e-01 +4.6466969675013168e+00 +0.0000000000000000e+00 -9.9999999938693004e-02 +6.0649975342961840e-05 +0.0000000000000000e+00 +9.9999999816079022e-01
-2.0000000000000001e-01 +4.6466878700045990e+00 +0.0000000000000000e+00 -1.9999999950954400e-01 +1.2129996065043085e-04 +0.0000000000000000e+00 +9.9999999264315975e-01
-3.0000000000000004e-01 +4.6466727075088619e+00 +0.0000000000000000e+00 -2.9999999834471086e-01 +1.8194995569024178e-04 +0.0000000000000000e+00 +9.9999998344710672e-01
-4.0000000000000002e-01 +4.6466514800131442e+00 +0.0000000000000000e+00 -3.9999999607635117e-01 +2.4259996021488894e-04 +0.0000000000000000e+00 +9.9999997057262924e-01
-5.0000000000000000e-01 +4.6466241875165109e+00 +0.0000000000000000e+00 -4.9999999233662246e-01 +3.0324997396152001e-04 +0.0000000000000000e+00 +9.9999995401972563e-01
-5.9999999999999998e-01 +4.6465908300180532e+00 +0.0000000000000000e+00 -5.9999998675768196e-01 +3.6389999665193063e-04 +0.0000000000000000e+00 +9.9999993378839402e-01
-6.9999999999999996e-01 +4.6465514075168919e+00 +0.0000000000000000e+00 -6.9999997897168686e-01 +4.2455002799255987e-04 +0.0000000000000000e+00 +9.9999990987863285e-01
-7.9999999999999993e-01 +4.6465059200121770e+00 +0.0000000000000000e+00 -7.9999996861079414e-01 +4.8520006767448638e-04 +0.0000000000000000e+00 +9.9999988229044023e-01
-8.9999999999999991e-01 +4.6464543675030896e+00 +0.0000000000000000e+00 -8.9999995530716048e-01 +5.4585011537342529e-04 +0.0000000000000000e+00 +9.9999985102381472e-01
-9.9999999999999989e-01 +4.6463967499888463e+00 +0.0000000000000000e+00 -9.9999993869294257e-01 +6.0650017074972582e-04 +0.0000000000000000e+00 +9.9999981607875454e-01
-1.0999999999999999e+00 +4.6463330674686958e+00 +0.0000000000000000e+00 -1.0999999184002969e+00 +6.6715023344836994e-04 +0.0000000000000000e+00 +9.9999977745525825e-01
-1.2000000000000000e+00 +4.6462633199419248e+00 +0.0000000000000000e+00 -1.1999998940613796e+00 +7.2780030309897129e-04 +0.0000000000000000e+00 +9.9999973515332430e-01
-1.3000000000000000e+00 +4.6461875074078574e+00 +0.0000000000000000e+00 -1.2999998653083471e+00 +7.8845037931577541e-04 +0.0000000000000000e+00 +9.9999968917295134e-01
-1.4000000000000001e+00 +4.6461056298658567e+00 +0.0000000000000000e+00 -1.3999998317733553e+00 +8.4910046169766023e-04 +0.0000000000000000e+00 +9.9999963951413795e-01
-1.5000000000000002e+00 +4.6460176873153269e+00 +0.0000000000000000e+00 -1.4999997930885600e+00 +9.0975054982813796e-04 +0.0000000000000000e+00 +9.9999958617688289e-01
-1.6000000000000003e+00 +4.6459236797557146e+00 +0.0000000000000000e+00 -1.5999997488861171e+00 +9.7040064327535676e-04 +0.0000000000000000e+00 +9.9999952916118484e-01
-1.7000000000000004e+00 +4.6458236071865100e+00 +0.0000000000000000e+00 -1.6999996987981822e+00 +1.0310507415921045e-03 +0.0000000000000000e+00 +9.9999946846704280e-01
-1.8000000000000005e+00 +4.6457174696072494e+00 +0.0000000000000000e+00 -1.7999996424569109e+00 +1.0917008443158118e-03 +0.0000000000000000e+00 +9.9999940409445565e-01
-1.9000000000000006e+00 +4.6456052670175163e+00 +0.0000000000000000e+00 -1.8999995794944584e+00 +1.1523509509685573e-03 +0.0000000000000000e+00 +9.9999933604342239e-01
-2.0000000000000004e+00 +4.6454869994169412e+00 +0.0000000000000000e+00 -1.9999995095429803e+00 +1.2130010610570724e-03 +0.0000000000000000e+00 +9.9999926431394226e-01
-2.1000000000000005e+00 +4.6453626668052070e+00 +0.0000000000000000e+00 -2.0999994322346320e+00 +1.2736511740741910e-03 +0.0000000000000000e+00 +9.9999918890601436e-01
-2.2000000000000006e+00 +4.6452322691820456e+00 +0.0000000000000000e+00 -2.1999993472015684e+00 +1.3343012895147340e-03 +0.0000000000000000e+00 +9.9999910981963813e-01
-2.3000000000000007e+00 +4.6450958065472392e+00 +0.0000000000000000e+00 -2.2999992540759449e+00 +1.3949514068913890e-03 +0.0000000000000000e+00 +9.9999902705481281e-01
-2.4000000000000008e+00 +4.6449532789006183e+00 +0.0000000000000000e+00 -2.3999991524899160e+00 +1.4556015257361544e-03 +0.0000000000000000e+00 +9.9999894061153793e-01
-2.5000000000000009e+00 +4.6448046862420584e+00 +0.0000000000000000e+00 -2.4999990420756375e+00 +1.5162516456003385e-03 +0.0000000000000000e+00 +9.9999885048981285e-01
-2.6000000000000010e+00 +4.6446500285714789e+00 +0.0000000000000000e+00 -2.5999989224652635e+00 +1.5769017660545598e-03 +0.0000000000000000e+00 +9.9999875668963711e-01
-2.7000000000000011e+00 +4.6444893058888415e+00 +0.0000000000000000e+00 -2.6999987932909497e+00 +1.6375518866887458e-03 +0.0000000000000000e+00 +9.9999865921101028e-01
-2.8000000000000012e+00 +4.6443225181941479e+00 +0.0000000000000000e+00 -2.7999986541848507e+00 +1.6982020071121323e-03 +0.0000000000000000e+00 +9.9999855805393190e-01
-2.9000000000000012e+00 +4.6441496654874381e+00 +0.0000000000000000e+00 -2.8999985047791212e+00 +1.7588521269532632e-03 +0.0000000000000000e+00 +9.9999845321840142e-01
-3.0000000000000013e+00 +4.6439707477687886e+00 +0.0000000000000000e+00 -2.9999983447059160e+00 +1.8195022458599888e-03 +0.0000000000000000e+00 +9.9999834470441862e-01
-3.1000000000000014e+00 +4.6437857650383085e+00 +0.0000000000000000e+00 -3.0999981735973900e+00 +1.8801523634994649e-03 +0.0000000000000000e+00 +9.9999823251198294e-01
-3.2000000000000015e+00 +4.6435947172961409e+00 +0.0000000000000000e+00 -3.1999979910856977e+00 +1.9408024795581514e-03 +0.0000000000000000e+00 +9.9999811664109406e-01
-3.3000000000000016e+00 +4.6433976045424590e+00 +0.0000000000000000e+00 -3.2999977968029937e+00 +2.0014525937418113e-03 +0.0000000000000000e+00 +9.9999799709175163e-01
-3.4000000000000017e+00 +4.6431944267774643e+00 +0.0000000000000000e+00 -3.3999975903814326e+00 +2.0621027057755089e-03 +0.0000000000000000e+00 +9.9999787386395511e-01
-3.5000000000000018e+00 +4.6429851840013843e+00 +0.0000000000000000e+00 -3.4999973714531691e+00 +2.1227528154036082e-03 +0.0000000000000000e+00 +9.9999774695770416e-01
-3.6000000000000019e+00 +4.6427698762144720e+00 +0.0000000000000000e+00 -3.5999971396503581e+00 +2.1834029223897706e-03 +0.0000000000000000e+00 +9.9999761637299833e-01
-3.7000000000000020e+00 +4.6425485034170020e+00 +0.0000000000000000e+00 -3.6999968946051536e+00 +2.2440530265169533e-03 +0.0000000000000000e+00 +9.9999748210983708e-01
-3.8000000000000020e+00 +4.6423210656092708e+00 +0.0000000000000000e+00 -3.7999966359497104e+00 +2.3047031275874072e-03 +0.0000000000000000e+00 +9.9999734416821995e-01
-3.9000000000000021e+00 +4.6420875627915930e+00 +0.0000000000000000e+00 -3.8999963633161827e+00 +2.3653532254226750e-03 +0.0000000000000000e+00 +9.9999720254814650e-01
-4.0000000000000018e+00 +4.6418479949642997e+00 +0.0000000000000000e+00 -3.9999960763367248e+00 +2.4260033198635878e-03 +0.0000000000000000e+00 +9.9999705724961596e-01
-4.1000000000000014e+00 +4.6416023621277382e+00 +0.0000000000000000e+00 -4.0999957746434905e+00 +2.4866534107682663e-03 +0.0000000000000000e+00 +9.9999690827262777e-01
-4.2000000000000011e+00 +4.6413506642822693e+00 +0.0000000000000000e+00 -4.1999954578686349e+00 +2.5473034979901473e-03 +0.0000000000000000e+00 +9.9999675561718138e-01
-4.3000000000000007e+00 +4.6410929014282694e+00 +0.0000000000000000e+00 -4.2999951256443119e+00 +2.6079535813560129e-03 +0.0000000000000000e+00 +9.9999659928327611e-01
-4.4000000000000004e+00 +4.6408290735661337e+00 +0.0000000000000000e+00 -4.3999947776026751e+00 +2.6686036606639986e-03 +0.0000000000000000e+00 +9.9999643927091153e-01
-4.5000000000000000e+00 +4.6405591806962798e+00 +0.0000000000000000e+00 -4.4999944133758785e+00 +2.7292537356835996e-03 +0.0000000000000000e+00 +9.9999627558008730e-01
-4.5999999999999996e+00 +4.6402832228191491e+00 +0.0000000000000000e+00 -4.5999940325960766e+00 +2.7899038061556763e-03 +0.0000000000000000e+00 +9.9999610821080298e-01
-4.6999999999999993e+00 +4.6400011999352104e+00 +0.0000000000000000e+00 -4.6999936348954234e+00 +2.8505538717924616e-03 +0.0000000000000000e+00 +9.9999593716305846e-01
-4.7999999999999989e+00 +4.6397131120449622e+00 +0.0000000000000000e+00 -4.7999932199060726e+00 +2.9112039322775683e-03 +0.0000000000000000e+00 +9.9999576243685362e-01
-4.8999999999999986e+00 +4.6394189591489381e+00 +0.0000000000000000e+00 -4.8999927872601790e+00 +2.9718539872659964e-03 +0.0000000000000000e+00 +9.9999558403218858e-01
-4.9999999999999982e+00 +4.6391187412477048e+00 +0.0000000000000000e+00 -4.9999923365898953e+00 +3.0325040363841406e-03 +0.0000000000000000e+00 +9.9999540194906344e-01
-5.0999999999999979e+00 +4.6388124583418699e+00 +0.0000000000000000e+00 -5.0999918675273763e+00 +3.0931540792297988e-03 +0.0000000000000000e+00 +9.9999521618747844e-01
-5.1999999999999975e+00 +4.6385001104320818e+00 +0.0000000000000000e+00 -5.1999913797047759e+00 +3.1538041153721806e-03 +0.0000000000000000e+00 +9.9999502674743412e-01
-5.2999999999999972e+00 +4.6381816975190340e+00 +0.0000000000000000e+00 -5.2999908727542477e+00 +3.2144541443519157e-03 +0.0000000000000000e+00 +9.9999483362893105e-01
-5.3999999999999968e+00 +4.6378572196034664e+00 +0.0000000000000000e+00 -5.3999903463079466e+00 +3.2751041656810631e-03 +0.0000000000000000e+00 +9.9999463683196999e-01
-5.4999999999999964e+00 +4.6375266766861696e+00 +0.0000000000000000e+00 -5.4999897999980263e+00 +3.3357541788431224e-03 +0.0000000000000000e+00 +9.9999443635655194e-01
-5.5999999999999961e+00 +4.6371900687679881e+00 +0.0000000000000000e+00 -5.5999892334566415e+00 +3.3964041832930413e-03 +0.0000000000000000e+00 +9.9999423220267791e-01
-5.6999999999999957e+00 +4.6368473958498209e+00 +0.0000000000000000e+00 -5.6999886463159468e+00 +3.4570541784572275e-03 +0.0000000000000000e+00 +9.9999402437034934e-01
-5.7999999999999954e+00 +4.6364986579326262e+00 +0.0000000000000000e+00 -5.7999880382080962e+00 +3.5177041637335584e-03 +0.0000000000000000e+00 +9.9999381285956768e-01
-5.8999999999999950e+00 +4.6361438550174245e+00 +0.0000000000000000e+00 -5.8999874087652451e+00 +3.5783541384913930e-03 +0.0000000000000000e+00 +9.9999359767033469e-01
-5.9999999999999947e+00 +4.6357829871053005e+00 +0.0000000000000000e+00 -5.9999867576195482e+00 +3.6390041020715825e-03 +0.0000000000000000e+00 +9.9999337880265227e-01
-6.0999999999999943e+00 +4.6354160541974059e+00 +0.0000000000000000e+00 -6.0999860844031604e+00 +3.6996540537899344e-03 +0.0000000000000000e+00 +9.9999315625652252e-01
-6.1999999999999940e+00 +4.6350430562949603e+00 +0.0000000000000000e+00 -6.1999853887482379e+00 +3.7603039929752198e-03 +0.0000000000000000e+00 +9.9999293003194778e-01
-6.2999999999999936e+00 +4.6346639933992488e+00 +0.0000000000000000e+00 -6.2999846702869355e+00 +3.8209539190071744e-03 +0.0000000000000000e+00 +9.9999270012893016e-01
-6.3999999999999932e+00 +4.6342788655116163e+00 +0.0000000000000000e+00 -6.3999839286514089e+00 +3.8816038313199469e-03 +0.0000000000000000e+00 +9.9999246654747165e-01
-6.4999999999999929e+00 +4.6338876726334597e+00 +0.0000000000000000e+00 -6.4999831634738152e+00 +3.9422537294020879e-03 +0.0000000000000000e+00 +9.9999222928757425e-01
-6.5999999999999925e+00 +4.6334904147662259e+00 +0.0000000000000000e+00 -6.5999823743863093e+00 +4.0029036127965387e-03 +0.0000000000000000e+00 +9.9999198834923975e-01
-6.6999999999999922e+00 +4.6330870919114036e+00 +0.0000000000000000e+00 -6.6999815610210485e+00 +4.0635534811006204e-03 +0.0000000000000000e+00 +9.9999174373246980e-01
-6.7999999999999918e+00 +4.6326777040705203e+00 +0.0000000000000000e+00 -6.7999807230101892e+00 +4.1242033339660197e-03 +0.0000000000000000e+00 +9.9999149543726595e-01
-6.8999999999999915e+00 +4.6322622512451348e+00 +0.0000000000000000e+00 -6.8999798599858879e+00 +4.1848531710987763e-03 +0.0000000000000000e+00 +9.9999124346362944e-01
