# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +4.6467000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-1.0000000000000001e-01 +4.6466969664417661e+00 +0.0000000000000000e+00 -9.9999999938650164e-02 +6.0671166340619443e-05 +0.0000000000000000e+00 +9.9999999815950480e-01
-2.0000000000000001e-01 +4.6466878657663875e+00 +0.0000000000000000e+00 -1.9999999950920122e-01 +1.2134234299350094e-04 +0.0000000000000000e+00 +9.9999999263801786e-01
-3.0000000000000004e-01 +4.6466726979728046e+00 +0.0000000000000000e+00 -2.9999999834355395e-01 +1.8201353052631875e-04 +0.0000000000000000e+00 +9.9999998343553720e-01
-4.0000000000000002e-01 +4.6466514630599045e+00 +0.0000000000000000e+00 -3.9999999607360881e-01 +2.4268472940582606e-04 +0.0000000000000000e+00 +9.9999997055206058e-01
-5.0000000000000000e-01 +4.6466241610265335e+00 +0.0000000000000000e+00 -4.9999999233126613e-01 +3.0335593999785511e-04 +0.0000000000000000e+00 +9.9999995398758568e-01
-5.9999999999999998e-01 +4.6465907918715059e+00 +0.0000000000000000e+00 -5.9999998674842592e-01 +3.6402716256731660e-04 +0.0000000000000000e+00 +9.9999993374211016e-01
-6.9999999999999996e-01 +4.6465513555936155e+00 +0.0000000000000000e+00 -6.9999997895698807e-01 +4.2469839727819785e-04 +0.0000000000000000e+00 +9.9999990981563147e-01
-7.9999999999999993e-01 +4.6465058521916438e+00 +0.0000000000000000e+00 -7.9999996858885203e-01 +4.8536964419356013e-04 +0.0000000000000000e+00 +9.9999988220814717e-01
-8.9999999999999991e-01 +4.6464542816643712e+00 +0.0000000000000000e+00 -8.9999995527591725e-01 +5.4604090327553501e-04 +0.0000000000000000e+00 +9.9999985091965471e-01
