# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +4.6467000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5079107514739255e-03 -4.2840237341460433e-02 +2.2700929944808373e-04
-1.0000000000000001e-01 +4.6466957310733292e+00 +0.0000000000000000e+00 -9.9999999878508425e-02 +2.5079125730902052e-03 -4.2840249568033485e-02 +2.2704256320448037e-04
-2.0000000000000001e-01 +4.6466829242917980e+00 +0.0000000000000000e+00 -1.9999999902806725e-01 +2.5079159109279397e-03 -4.2840259576604506e-02 +2.2707760751256319e-04
-3.0000000000000004e-01 +4.6466615796535038e+00 +0.0000000000000000e+00 -2.9999999671972638e-01 +2.5079206236605276e-03 -4.2840267411868506e-02 +2.2711409159269292e-04
-4.0000000000000002e-01 +4.6466316971570398e+00 +0.0000000000000000e+00 -3.9999999222453536e-01 +2.5079265699808058e-03 -4.2840273118546129e-02 +2.2715167462477375e-04
-5.0000000000000000e-01 +4.6465932768014859e+00 +0.0000000000000000e+00 -4.9999998481354357e-01 +2.5079336085994637e-03 -4.2840276741379989e-02 +2.2719001575185606e-04
-5.9999999999999998e-01 +4.6465463185863998e+00 +0.0000000000000000e+00 -5.9999997375780023e-01 +2.5079415982434596e-03 -4.2840278325131105e-02 +2.2722877408374025e-04
-6.9999999999999996e-01 +4.6464908225118071e+00 +0.0000000000000000e+00 -6.9999995832835460e-01 +2.5079503976544438e-03 -4.2840277914575349e-02 +2.2726760870058331e-04
-7.9999999999999993e-01 +4.6464267885781929e+00 +0.0000000000000000e+00 -7.9999993779625633e-01 +2.5079598655871776e-03 -4.2840275554499950e-02 +2.2730617865650426e-04
-8.9999999999999991e-01 +4.6463542167864942e+00 +0.0000000000000000e+00 -8.9999991143255520e-01 +2.5079698608079476e-03 -4.2840271289699958e-02 +2.2734414298319474e-04
-9.9999999999999989e-01 +4.6462731071380894e+00 +0.0000000000000000e+00 -9.9999987850830152e-01 +2.5079802420929853e-03 -4.2840265164974613e-02 +2.2738116069352912e-04
-1.0999999999999999e+00 +4.6461834596347895e+00 +0.0000000000000000e+00 -1.0999998382945462e+00 +2.5079908682268839e-03 -4.2840257225123891e-02 +2.2741689078517900e-04
-1.2000000000000000e+00 +4.6460852742788292e+00 +0.0000000000000000e+00 -1.1999997900623409e+00 +2.5080015980010200e-03 -4.2840247514944960e-02 +2.2745099224422984e-04
-1.3000000000000000e+00 +4.6459785510728597e+00 +0.0000000000000000e+00 -1.2999997330827384e+00 +2.5080122902119751e-03 -4.2840236079228537e-02 +2.2748312404880113e-04
-1.4000000000000001e+00 +4.6458632900199364e+00 +0.0000000000000000e+00 -1.3999996666267918e+00 +2.5080228036599515e-03 -4.2840222962755442e-02 +2.2751294517267014e-04
-1.5000000000000002e+00 +4.6457394911235124e+00 +0.0000000000000000e+00 -1.4999995899655558e+00 +2.5080329971471967e-03 -4.2840208210292961e-02 +2.2754011458889938e-04
-1.6000000000000003e+00 +4.6456071543874309e+00 +0.0000000000000000e+00 -1.5999995023700861e+00 +2.5080427294764326e-03 -4.2840191866591451e-02 +2.2756429127346922e-04
-1.7000000000000004e+00 +4.6454662798159116e+00 +0.0000000000000000e+00 -1.6999994031114396e+00 +2.5080518594492738e-03 -4.2840173976380631e-02 +2.2758513420891369e-04
-1.8000000000000005e+00 +4.6453168674135465e+00 +0.0000000000000000e+00 -1.7999992914606746e+00 +2.5080602458646593e-03 -4.2840154584366054e-02 +2.2760230238796252e-04
-1.9000000000000006e+00 +4.6451589171852889e+00 +0.0000000000000000e+00 -1.8999991666888509e+00 +2.5080677475172860e-03 -4.2840133735225668e-02 +2.2761545481718800e-04
-2.0000000000000004e+00 +4.6449924291364448e+00 +0.0000000000000000e+00 -1.9999990280670301e+00 +2.5080742231960362e-03 -4.2840111473606148e-02 +2.2762425052065698e-04
-2.1000000000000005e+00 +4.6448174032726639e+00 +0.0000000000000000e+00 -2.0999988748662752e+00 +2.5080795647985559e-03 -4.2840087857338026e-02 +2.2762846160820406e-04
-2.2000000000000006e+00 +4.6446338395999254e+00 +0.0000000000000000e+00 -2.1999987063576509e+00 +2.5080837966800218e-03 -4.2840062997097160e-02 +2.2762831248576934e-04
-2.3000000000000007e+00 +4.6444417381245211e+00 +0.0000000000000000e+00 -2.2999985218122236e+00 +2.5080869762975043e-03 -4.2840037016758918e-02 +2.2762414065794187e-04
-2.4000000000000008e+00 +4.6442410988530263e+00 +0.0000000000000000e+00 -2.3999983205010622e+00 +2.5080891610891917e-03 -4.2840010040179503e-02 +2.2761628366019270e-04
