# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +4.6467000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-1.0000000000000001e-01 +4.6466956830515933e+00 +0.0000000000000000e+00 -9.9999999875759707e-02 +8.6338967849185737e-05 +0.0000000000000000e+00 +9.9999999627279135e-01
-2.0000000000000001e-01 +4.6466827322065205e+00 +0.0000000000000000e+00 -1.9999999900607768e-01 +1.7267793299572719e-04 +0.0000000000000000e+00 +9.9999998509116561e-01
-3.0000000000000004e-01 +4.6466611474651458e+00 +0.0000000000000000e+00 -2.9999999664551225e-01 +2.5901689360111491e-04 +0.0000000000000000e+00 +9.9999996645512390e-01
-4.0000000000000002e-01 +4.6466309288280083e+00 +0.0000000000000000e+00 -3.9999999204862191e-01 +3.4535584798058868e-04 +0.0000000000000000e+00 +9.9999994036466744e-01
-5.0000000000000000e-01 +4.6465920762958088e+00 +0.0000000000000000e+00 -4.9999998446996530e-01 +4.3169479460312174e-04 +0.0000000000000000e+00 +9.9999990681979789e-01
-5.9999999999999998e-01 +4.6465445898693929e+00 +0.0000000000000000e+00 -5.9999997316410114e-01 +5.1803373209141168e-04 +0.0000000000000000e+00 +9.9999986582051725e-01
-6.9999999999999996e-01 +4.6464884695497366e+00 +0.0000000000000000e+00 -6.9999995738558840e-01 +6.0437265922187722e-04 +0.0000000000000000e+00 +9.9999981736682775e-01
-7.9999999999999993e-01 +4.6464237153379297e+00 +0.0000000000000000e+00 -7.9999993638898648e-01 +6.9071157492466180e-04 +0.0000000000000000e+00 +9.9999976145873171e-01
-8.9999999999999991e-01 +4.6463503272351634e+00 +0.0000000000000000e+00 -8.9999990942885466e-01 +7.7705047828364299e-04 +0.0000000000000000e+00 +9.9999969809623157e-01
-9.9999999999999989e-01 +4.6462683052427103e+00 +0.0000000000000000e+00 -9.9999987575975269e-01 +8.6338936853644864e-04 +0.0000000000000000e+00 +9.9999962727932978e-01
-1.0999999999999999e+00 +4.6461776493619134e+00 +0.0000000000000000e+00 -1.0999998346362405e+00 +9.4972824507447888e-04 +0.0000000000000000e+00 +9.9999954900802868e-01
-1.2000000000000000e+00 +4.6460783595941679e+00 +0.0000000000000000e+00 -1.1999997853128783e+00 +1.0360671074429346e-03 +0.0000000000000000e+00 +9.9999946328233047e-01
-1.3000000000000000e+00 +4.6459704359409075e+00 +0.0000000000000000e+00 -1.2999997270442267e+00 +1.1224059553408528e-03 +0.0000000000000000e+00 +9.9999937010223738e-01
-1.4000000000000001e+00 +4.6458538784035870e+00 +0.0000000000000000e+00 -1.3999996590848460e+00 +1.2087447886211470e-03 +0.0000000000000000e+00 +9.9999926946775120e-01
-1.5000000000000002e+00 +4.6457286869836700e+00 +0.0000000000000000e+00 -1.4999995806892972e+00 +1.2950836072906551e-03 +0.0000000000000000e+00 +9.9999916137887346e-01
-1.6000000000000003e+00 +4.6455948616826106e+00 +0.0000000000000000e+00 -1.5999994911121411e+00 +1.3814224115101931e-03 +0.0000000000000000e+00 +9.9999904583560528e-01
-1.7000000000000004e+00 +4.6454524025018396e+00 +0.0000000000000000e+00 -1.6999993896079386e+00 +1.4677612015946146e-03 +0.0000000000000000e+00 +9.9999892283794745e-01
-1.8000000000000005e+00 +4.6453013094427478e+00 +0.0000000000000000e+00 -1.7999992754312508e+00 +1.5540999780128779e-03 +0.0000000000000000e+00 +9.9999879238590006e-01
-1.9000000000000006e+00 +4.6451415825066720e+00 +0.0000000000000000e+00 -1.8999991478366389e+00 +1.6404387413881177e-03 +0.0000000000000000e+00 +9.9999865447946268e-01
-2.0000000000000004e+00 +4.6449732216948787e+00 +0.0000000000000000e+00 -1.9999990060786637e+00 +1.7267774924977248e-03 +0.0000000000000000e+00 +9.9999850911863430e-01
-2.1000000000000005e+00 +4.6447962270085501e+00 +0.0000000000000000e+00 -2.0999988494118860e+00 +1.8131162322624881e-03 +0.0000000000000000e+00 +9.9999835630341327e-01
-2.2000000000000006e+00 +4.6446105984487724e+00 +0.0000000000000000e+00 -2.1999986770908664e+00 +1.8994549616263060e-03 +0.0000000000000000e+00 +9.9999819603379725e-01
-2.3000000000000007e+00 +4.6444163360165431e+00 +0.0000000000000000e+00 -2.2999984883701652e+00 +1.9857936814358500e-03 +0.0000000000000000e+00 +9.9999802830978357e-01
-2.4000000000000008e+00 +4.6442134397127788e+00 +0.0000000000000000e+00 -2.3999982825043427e+00 +2.0721323924296300e-03 +0.0000000000000000e+00 +9.9999785313136957e-01
-2.5000000000000009e+00 +4.6440019095383294e+00 +0.0000000000000000e+00 -2.4999980587479587e+00 +2.1584710952379971e-03 +0.0000000000000000e+00 +9.9999767049855215e-01
-2.6000000000000010e+00 +4.6437817454939863e+00 +0.0000000000000000e+00 -2.5999978163555726e+00 +2.2448097903831426e-03 +0.0000000000000000e+00 +9.9999748041132830e-01
-2.7000000000000011e+00 +4.6435529475804938e+00 +0.0000000000000000e+00 -2.6999975545817438e+00 +2.3311484782790924e-03 +0.0000000000000000e+00 +9.9999728286969469e-01
-2.8000000000000012e+00 +4.6433155157985615e+00 +0.0000000000000000e+00 -2.7999972726810309e+00 +2.4174871592316984e-03 +0.0000000000000000e+00 +9.9999707787364800e-01
-2.9000000000000012e+00 +4.6430694501488725e+00 +0.0000000000000000e+00 -2.8999969699079928e+00 +2.5038258334386253e-03 +0.0000000000000000e+00 +9.9999686542318500e-01
-3.0000000000000013e+00 +4.6428147506320956e+00 +0.0000000000000000e+00 -2.9999966455171876e+00 +2.5901645009893341e-03 +0.0000000000000000e+00 +9.9999664551830247e-01
-3.1000000000000014e+00 +4.6425514172488969e+00 +0.0000000000000000e+00 -3.0999962987631728e+00 +2.6765031618650606e-03 +0.0000000000000000e+00 +9.9999641815899731e-01
-3.2000000000000015e+00 +4.6422794499999496e+00 +0.0000000000000000e+00 -3.1999959289005062e+00 +2.7628418159387920e-03 +0.0000000000000000e+00 +9.9999618334526652e-01
-3.3000000000000016e+00 +4.6419988488859438e+00 +0.0000000000000000e+00 -3.2999955351837453e+00 +2.8491804629752360e-03 +0.0000000000000000e+00 +9.9999594107710721e-01
-3.4000000000000017e+00 +4.6417096139076000e+00 +0.0000000000000000e+00 -3.3999951168674469e+00 +2.9355191026307907e-03 +0.0000000000000000e+00 +9.9999569135451671e-01
-3.5000000000000018e+00 +4.6414117450656782e+00 +0.0000000000000000e+00 -3.4999946732061678e+00 +3.0218577344535060e-03 +0.0000000000000000e+00 +9.9999543417749293e-01
-3.6000000000000019e+00 +4.6411052423609886e+00 +0.0000000000000000e+00 -3.5999942034544645e+00 +3.1081963578830445e-03 +0.0000000000000000e+00 +9.9999516954603374e-01
-3.7000000000000020e+00 +4.6407901057944034e+00 +0.0000000000000000e+00 -3.6999937068668936e+00 +3.1945349722506365e-03 +0.0000000000000000e+00 +9.9999489746013759e-01
-3.8000000000000020e+00 +4.6404663353668667e+00 +0.0000000000000000e+00 -3.7999931826980111e+00 +3.2808735767790326e-03 +0.0000000000000000e+00 +9.9999461791980326e-01
-3.9000000000000021e+00 +4.6401339310794052e+00 +0.0000000000000000e+00 -3.8999926302023731e+00 +3.3672121705824506e-03 +0.0000000000000000e+00 +9.9999433092502998e-01
-4.0000000000000018e+00 +4.6397928929331407e+00 +0.0000000000000000e+00 -3.9999920486345357e+00 +3.4535507526665199e-03 +0.0000000000000000e+00 +9.9999403647581764e-01
-4.1000000000000014e+00 +4.6394432209292988e+00 +0.0000000000000000e+00 -4.0999914372490549e+00 +3.5398893219318341e-03 +0.0000000000000000e+00 +9.9999373457216656e-01
-4.2000000000000011e+00 +4.6390849150692199e+00 +0.0000000000000000e+00 -4.1999907953004874e+00 +3.6262278772136343e-03 +0.0000000000000000e+00 +9.9999342521407752e-01
-4.3000000000000007e+00 +4.6387179753543615e+00 +0.0000000000000000e+00 -4.2999901220433889e+00 +3.7125664173215103e-03 +0.0000000000000000e+00 +9.9999310840155164e-01
-4.4000000000000004e+00 +4.6383424017863017e+00 +0.0000000000000000e+00 -4.3999894167323159e+00 +3.7989049410429702e-03 +0.0000000000000000e+00 +9.9999278413459036e-01
-4.5000000000000000e+00 +4.6379581943667407e+00 +0.0000000000000000e+00 -4.4999886786218255e+00 +3.8852434471433931e-03 +0.0000000000000000e+00 +9.9999245241319545e-01
-4.5999999999999996e+00 +4.6375653530975027e+00 +0.0000000000000000e+00 -4.5999879069664740e+00 +3.9715819343659796e-03 +0.0000000000000000e+00 +9.9999211323736903e-01
-4.6999999999999993e+00 +4.6371638779805391e+00 +0.0000000000000000e+00 -4.6999871010208185e+00 +4.0579204014317017e-03 +0.0000000000000000e+00 +9.9999176660711364e-01
-4.7999999999999989e+00 +4.6367537690179308e+00 +0.0000000000000000e+00 -4.7999862600394163e+00 +4.1442588470392457e-03 +0.0000000000000000e+00 +9.9999141252243218e-01
-4.8999999999999986e+00 +4.6363350262118903e+00 +0.0000000000000000e+00 -4.8999853832768245e+00 +4.2305972698649594e-03 +0.0000000000000000e+00 +9.9999105098332786e-01
-4.9999999999999982e+00 +4.6359076495647624e+00 +0.0000000000000000e+00 -4.9999844699876013e+00 +4.3169356685627894e-03 +0.0000000000000000e+00 +9.9999068198980434e-01
-5.0999999999999979e+00 +4.6354716390790278e+00 +0.0000000000000000e+00 -5.0999835194263046e+00 +4.4032740417642227e-03 +0.0000000000000000e+00 +9.9999030554186552e-01
-5.1999999999999975e+00 +4.6350269947573057e+00 +0.0000000000000000e+00 -5.1999825308474934e+00 +4.4896123880782237e-03 +0.0000000000000000e+00 +9.9998992163951594e-01
-5.2999999999999972e+00 +4.6345737166023557e+00 +0.0000000000000000e+00 -5.2999815035057276e+00 +4.5759507060911643e-03 +0.0000000000000000e+00 +9.9998953028276039e-01
-5.3999999999999968e+00 +4.6341118046170786e+00 +0.0000000000000000e+00 -5.3999804366555662e+00 +4.6622889943667605e-03 +0.0000000000000000e+00 +9.9998913147160418e-01
-5.4999999999999964e+00 +4.6336412588045217e+00 +0.0000000000000000e+00 -5.4999793295515689e+00 +4.7486272514459986e-03 +0.0000000000000000e+00 +9.9998872520605309e-01
-5.5999999999999961e+00 +4.6331620791678789e+00 +0.0000000000000000e+00 -5.5999781814482974e+00 +4.8349654758470641e-03 +0.0000000000000000e+00 +9.9998831148611322e-01
-5.6999999999999957e+00 +4.6326742657104925e+00 +0.0000000000000000e+00 -5.6999769916003125e+00 +4.9213036660652638e-03 +0.0000000000000000e+00 +9.9998789031179114e-01
-5.7999999999999954e+00 +4.6321778184358564e+00 +0.0000000000000000e+00 -5.7999757592621766e+00 +5.0076418205729509e-03 +0.0000000000000000e+00 +9.9998746168309394e-01
-5.8999999999999950e+00 +4.6316727373476194e+00 +0.0000000000000000e+00 -5.8999744836884522e+00 +5.0939799378194438e-03 +0.0000000000000000e+00 +9.9998702560002928e-01
-5.9999999999999947e+00 +4.6311590224495864e+00 +0.0000000000000000e+00 -5.9999731641337037e+00 +5.1803180162309425e-03 +0.0000000000000000e+00 +9.9998658206260504e-01
-6.0999999999999943e+00 +4.6306366737457205e+00 +0.0000000000000000e+00 -6.0999717998524954e+00 +5.2666560542136221e-03 +0.0000000000000000e+00 +9.9998613107082990e-01
-6.1999999999999940e+00 +4.6301056912401437e+00 +0.0000000000000000e+00 -6.1999703900993923e+00 +5.3529940501885320e-03 +0.0000000000000000e+00 +9.9998567262471272e-01
