# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -4.5517081300297546e-01 -1.9381260406318887e-04 -2.4139930689923594e-01 +2.5949722078966719e+01 +6.2823550135663772e+03 -1.0213139987295119e+05 -2.3149886601998605e+07 
+1.0000000000000001e-01 -4.5517079175557212e-01 -1.8745409689282228e-04 -2.3771237425066594e-01 +2.5889730413402830e+01 +6.2071565842638547e+03 -1.0184703649358667e+05 -2.2793161543145820e+07 
+2.0000000000000001e-01 -4.5517077362169556e-01 -1.8172775663181874e-04 -2.3381219027472022e-01 +2.5864943520307385e+01 +6.1260068481390445e+03 -1.0178408493259117e+05 -2.2403395946950272e+07 
+3.0000000000000004e-01 -4.5517075818036207e-01 -1.7667951895620758e-04 -2.2973168338126543e-01 +2.5874235187518675e+01 +6.0397012732993699e+03 -1.0193203213317371e+05 -2.1984756654061537e+07 
+4.0000000000000002e-01 -4.5517074501051530e-01 -1.7235531626799547e-04 -2.2550379314911537e-01 +2.5916479343044369e+01 +5.9490355246827130e+03 -1.0228036703655453e+05 -2.1541411333692051e+07 
+5.0000000000000000e-01 -4.5517073369103805e-01 -1.6880107330783720e-04 -2.2116146765066477e-01 +2.5990549874619401e+01 +5.8548054089078196e+03 -1.0281857928659345e+05 -2.1077528222236000e+07 
+5.9999999999999998e-01 -4.5517072380072610e-01 -1.6606270878038060e-04 -2.1673766597760349e-01 +2.6095320614852909e+01 +5.7578069216762706e+03 -1.0353615885679120e+05 -2.0597276358267710e+07 
+6.9999999999999996e-01 -4.5517071491831929e-01 -1.6418613459218346e-04 -2.1226535305018571e-01 +2.6229665264640651e+01 +5.6588361446284925e+03 -1.0442259534695721e+05 -2.0104825093564454e+07 
+7.9999999999999993e-01 -4.5517070662246994e-01 -1.6321725470977728e-04 -2.0777750278416340e-01 +2.6392457302861597e+01 +5.5586893037569826e+03 -1.0546737719420118e+05 -1.9604344376845535e+07 
+8.9999999999999991e-01 -4.5517069849175162e-01 -1.6320196352231285e-04 -2.0330709545153136e-01 +2.6582569878895267e+01 +5.4581627138328495e+03 -1.0665999077133957e+05 -1.9100004487437624e+07 
+9.9999999999999989e-01 -4.5517069010468159e-01 -1.6418614666079449e-04 -1.9888711444731658e-01 +2.6798875780073917e+01 +5.3580527177028298e+03 -1.0798991993501557e+05 -1.8595975762256589e+07 
+1.0999999999999999e+00 -4.5517068103968183e-01 -1.6621567972659686e-04 -1.9455054958456386e-01 +2.7040247341443219e+01 +5.2591557432491563e+03 -1.0944664524448382e+05 -1.8096428861785185e+07 
+1.2000000000000000e+00 -4.5517067087511592e-01 -1.6933642815155533e-04 -1.9033039168120808e-01 +2.7305556377447640e+01 +5.1622681983279872e+03 -1.1101964327581477e+05 -1.7605534278476179e+07 
+1.3000000000000000e+00 -4.5517065918926408e-01 -1.7359424432161972e-04 -1.8625963466048909e-01 +2.7593674045924061e+01 +5.0681865083105240e+03 -1.1269838558472059e+05 -1.7127462519441213e+07 
+1.4000000000000001e+00 -4.5517064556032855e-01 -1.7903497001277747e-04 -1.8237127356671773e-01 +2.7903470859975457e+01 +4.9777070745228993e+03 -1.1447233849501291e+05 -1.6666383912301194e+07 
+1.5000000000000002e+00 -4.5517062956644011e-01 -1.8570443216600415e-04 -1.7869830296196931e-01 +2.8233816507357883e+01 +4.8916262418763190e+03 -1.1633096178908058e+05 -1.6226468457610963e+07 
+1.6000000000000003e+00 -4.5517061078565019e-01 -1.9364844644969862e-04 -1.7527371672478720e-01 +2.8583579899211550e+01 +4.8107402909757175e+03 -1.1826370872346964e+05 -1.5811885792318180e+07 
+1.7000000000000004e+00 -4.5517058879592903e-01 -2.0291281153902481e-04 -1.7213050736459781e-01 +2.8951628943341383e+01 +4.7358454234958654e+03 -1.2026002444181968e+05 -1.5426805128236009e+07 
+1.8000000000000005e+00 -4.5517056317518351e-01 -2.1354331346280211e-04 -1.6930166241946129e-01 +2.9336830614550234e+01 +4.6677376891510730e+03 -1.2230934611537862e+05 -1.5075394906271270e+07 
+1.9000000000000006e+00 -4.5517053350122422e-01 -2.2558572156816851e-04 -1.6682016800182692e-01 +2.9738050781852873e+01 +4.6072130521639638e+03 -1.2440110167746864e+05 -1.4761823119120102e+07 
+2.0000000000000004e+00 -4.5517049935183213e-01 -2.3908575676881926e-04 -1.6471899412891783e-01 +3.0154153092284581e+01 +4.5550670548743674e+03 -1.2652470374704190e+05 -1.4490255651889440e+07 
+2.1000000000000005e+00 -4.5517046042647913e-01 -2.5404445500738456e-04 -1.6302236080276039e-01 +3.0583234079062070e+01 +4.5119105382240305e+03 -1.2866641570986138e+05 -1.4263935864916887e+07 
+2.2000000000000006e+00 -4.5517041691878152e-01 -2.7030937314067839e-04 -1.6172746766497745e-01 +3.1021784436307033e+01 +4.4777200809851247e+03 -1.3080898520722672e+05 -1.4082742370499115e+07 
+2.3000000000000007e+00 -4.5517036914819647e-01 -2.8769561111215001e-04 -1.6082638476357045e-01 +3.1466335264845117e+01 +4.4523184066762706e+03 -1.3293713388114615e+05 -1.3945659878541304e+07 
+2.4000000000000008e+00 -4.5517031743431413e-01 -3.0601830863444826e-04 -1.6031116334158552e-01 +3.1913420214708410e+01 +4.4355276805476597e+03 -1.3503559912839864e+05 -1.3851670041611133e+07 
+2.5000000000000009e+00 -4.5517026209685524e-01 -3.2509259412345190e-04 -1.6017384114122907e-01 +3.2359572354616887e+01 +4.4271698621461255e+03 -1.3708911452440621e+05 -1.3799753715913231e+07 
+2.6000000000000010e+00 -4.5517020345570319e-01 -3.4473358526436530e-04 -1.6040643939488239e-01 +3.2801324207574048e+01 +4.4270666556698152e+03 -1.3908241015838555e+05 -1.3788890745632874e+07 
+2.7000000000000011e+00 -4.5517014183092103e-01 -3.6475638749628304e-04 -1.6100096173687706e-01 +3.3235207708723891e+01 +4.4350394992046859e+03 -1.4100021246729477e+05 -1.3818059936612895e+07 
+2.8000000000000012e+00 -4.5517007754277539e-01 -3.8497609717675848e-04 -1.6194939205355766e-01 +3.3657754307188938e+01 +4.4509095308909118e+03 -1.4282724492797480e+05 -1.3886238913999319e+07 
+2.9000000000000012e+00 -4.5517001091172482e-01 -4.0520779738559390e-04 -1.6324369718278864e-01 +3.4065494855110067e+01 +4.4744976491824636e+03 -1.4454822752152567e+05 -1.3992404429222364e+07 
+3.0000000000000013e+00 -4.5516994225849228e-01 -4.2526656311430144e-04 -1.6487581879310009e-01 +3.4454959757373970e+01 +4.5056243687017668e+03 -1.4614787766803667e+05 -1.4135531704785764e+07 
+3.1000000000000014e+00 -4.5516987190404506e-01 -4.4496745519928782e-04 -1.6683767689061796e-01 +3.4822678818733806e+01 +4.5441098933161684e+03 -1.4761090948568124e+05 -1.4314594794453004e+07 
+3.2000000000000015e+00 -4.5516980016962066e-01 -4.6412552650617781e-04 -1.6912116766768209e-01 +3.5165181413699990e+01 +4.5897740852133775e+03 -1.4892203481585544e+05 -1.4528566462930433e+07 
+3.3000000000000016e+00 -4.5516972737675460e-01 -4.8255581875150118e-04 -1.7171816098280343e-01 +3.5478996418435337e+01 +4.6424364249772589e+03 -1.5006596297617402e+05 -1.4776418016449535e+07 
+3.4000000000000017e+00 -4.5516965384730607e-01 -5.0007336177229872e-04 -1.7462049827939252e-01 +3.5760652184171249e+01 +4.7019159812906000e+03 -1.5102740066239110e+05 -1.5057119182567190e+07 
+3.5000000000000018e+00 -4.5516957990344892e-01 -5.1649317619027659e-04 -1.7781999448927119e-01 +3.6006676633580653e+01 +4.7680314544305784e+03 -1.5179105263302397e+05 -1.5369638334631465e+07 
+3.6000000000000019e+00 -4.5516950586772281e-01 -5.3163027195672673e-04 -1.8130843312151154e-01 +3.6213597221015519e+01 +4.8406010938254931e+03 -1.5234162156422652e+05 -1.5712942128613058e+07 
+3.7000000000000020e+00 -4.5516943206303956e-01 -5.4529964987688490e-04 -1.8507756592549152e-01 +3.6377940979957224e+01 +4.9194426973873578e+03 -1.5266380840152496e+05 -1.6085995514194695e+07 
+3.8000000000000020e+00 -4.5516935881269571e-01 -5.5731629882891623e-04 -1.8911911283870358e-01 +3.6496234463152696e+01 +5.0043736213739921e+03 -1.5274231215142793e+05 -1.6487761808610080e+07 
+3.9000000000000021e+00 -4.5516928644039850e-01 -5.6749519903925936e-04 -1.9342475942664880e-01 +3.6565003834217713e+01 +5.0952107393650667e+03 -1.5256183047225664e+05 -1.6917202521981511e+07 
+4.0000000000000018e+00 -4.5516921527027193e-01 -5.7565146633571575e-04 -1.9798616852460196e-01 +3.6580783640413010e+01 +5.1917713257782880e+03 -1.5210711971468874e+05 -1.7373283514037423e+07 
+4.1000000000000014e+00 -4.5516914553955085e-01 -5.8162876669475775e-04 -2.0279416315580892e-01 +3.6541074833635044e+01 +5.2938699321109098e+03 -1.5136865544227153e+05 -1.7855040847501177e+07 
+4.2000000000000011e+00 -4.5516907706654952e-01 -5.8544078925185702e-04 -2.0783078951309450e-01 +3.6447436494803682e+01 +5.4010918560603359e+03 -1.5035781831857239e+05 -1.8360481740559854e+07 
+4.3000000000000007e+00 -4.5516900954912359e-01 -5.8716895068415304e-04 -2.1307229121035751e-01 +3.6302828312200170e+01 +5.5128813591660974e+03 -1.4909262951786647e+05 -1.8886941636149537e+07 
+4.4000000000000004e+00 -4.5516894268521968e-01 -5.8689490446478304e-04 -2.1849486133051713e-01 +3.6110214900541592e+01 +5.6286817655768145e+03 -1.4759113275581217e+05 -1.9431751766325414e+07 
+4.5000000000000000e+00 -4.5516887617271767e-01 -5.8470031816414028e-04 -2.2407470805768498e-01 +3.5872561808610612e+01 +5.7479367051302388e+03 -1.4587137831008006e+05 -1.9992244714081518e+07 
+4.5999999999999996e+00 -4.5516880970939605e-01 -5.8066686684738226e-04 -2.2978805926838128e-01 +3.5592835376889091e+01 +5.8700901984911243e+03 -1.4395142230304758e+05 -2.0565754800565682e+07 
+4.6999999999999993e+00 -4.5516874299293630e-01 -5.7487624038374393e-04 -2.3561116187541437e-01 +3.5274002980072247e+01 +5.9945866411360403e+03 -1.4184932816051473e+05 -2.1149617990051690e+07 
+4.7999999999999989e+00 -4.5516867572090480e-01 -5.6741014139449536e-04 -2.4152028440083687e-01 +3.4919033018468177e+01 +6.1208708513408183e+03 -1.3958316666548676e+05 -2.1741172105514169e+07 
+4.8999999999999986e+00 -4.5516860759074107e-01 -5.5835028712865288e-04 -2.4749171860502417e-01 +3.4530895006525427e+01 +6.2483880998072700e+03 -1.3717101653999693e+05 -2.2337756955834597e+07 
+4.9999999999999982e+00 -4.5516853829974074e-01 -5.4777841001224926e-04 -2.5350178178183352e-01 +3.4112559627928974e+01 +6.3765841487290791e+03 -1.3463096483614334e+05 -2.2936714496984947e+07 
+5.0999999999999979e+00 -4.5516846754505114e-01 -5.3577625958350873e-04 -2.5952681738982181e-01 +3.3666998838786796e+01 +6.5049052639918582e+03 -1.3198110763364643e+05 -2.3535388883224782e+07 
+5.1999999999999975e+00 -4.5516839502364298e-01 -5.2242560216920965e-04 -2.6554319886795874e-01 +3.3197185891873247e+01 +6.6327982848919273e+03 -1.2923955024213826e+05 -2.4131126778035846e+07 
+5.2999999999999972e+00 -4.5516832043232208e-01 -5.0780822433528863e-04 -2.7152732822135839e-01 +3.2706095482384526e+01 +6.7597105938995810e+03 -1.2642440813841984e+05 -2.4721277192801051e+07 
+5.3999999999999968e+00 -4.5516824346769530e-01 -4.9200593006522015e-04 -2.7745564055412053e-01 +3.2196703701329945e+01 +6.8850902030982998e+03 -1.2355380676345339e+05 -2.5303191887807641e+07 
