# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +4.6467000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.8351017161132454e-02 -5.1977087830613777e-01 +3.7086495882320035e-03
-1.0000000000000001e-01 +4.6466948058266846e+00 +0.0000000000000000e+00 -9.9999999820137089e-02 +2.8351061549699075e-02 -5.1977089672272581e-01 +3.7086857011393733e-03
-2.0000000000000001e-01 +4.6466792233065695e+00 +0.0000000000000000e+00 -1.9999999856109668e-01 +2.8351113274377265e-02 -5.1977090894956024e-01 +3.7087215082839547e-03
-3.0000000000000004e-01 +4.6466532524395783e+00 +0.0000000000000000e+00 -2.9999999514370124e-01 +2.8351171266623901e-02 -5.1977091522126406e-01 +3.7087571680408122e-03
-4.0000000000000002e-01 +4.6466168932258656e+00 +0.0000000000000000e+00 -3.9999998848877316e-01 +2.8351234458359655e-02 -5.1977091577229018e-01 +3.7087928387221666e-03
-5.0000000000000000e-01 +4.6465701456658124e+00 +0.0000000000000000e+00 -4.9999997751713499e-01 +2.8351301781926300e-02 -5.1977091083694316e-01 +3.7088286785824775e-03
-5.9999999999999998e-01 +4.6465130097600209e+00 +0.0000000000000000e+00 -5.9999996114960930e-01 +2.8351372170043829e-02 -5.1977090064939691e-01 +3.7088648458234951e-03
-6.9999999999999996e-01 +4.6464454855093118e+00 +0.0000000000000000e+00 -6.9999993830701879e-01 +2.8351444555767789e-02 -5.1977088544371641e-01 +3.7089014985993390e-03
-7.9999999999999993e-01 +4.6463675729147171e+00 +0.0000000000000000e+00 -7.9999990791018649e-01 +2.8351517872446424e-02 -5.1977086545387730e-01 +3.7089387950215696e-03
-8.9999999999999991e-01 +4.6462792719774759e+00 +0.0000000000000000e+00 -8.9999986887993555e-01 +2.8351591053677815e-02 -5.1977084091378400e-01 +3.7089768931642501e-03
-9.9999999999999989e-01 +4.6461805826990323e+00 +0.0000000000000000e+00 -9.9999982013708955e-01 +2.8351663033267045e-02 -5.1977081205729192e-01 +3.7090159510690269e-03
-1.0999999999999999e+00 +4.6460715050810268e+00 +0.0000000000000000e+00 -1.0999997606024723e+00 +2.8351732745183340e-02 -5.1977077911822733e-01 +3.7090561267502159e-03
-1.2000000000000000e+00 +4.6459520391252953e+00 +0.0000000000000000e+00 -1.1999996891969082e+00 +2.8351799123517079e-02 -5.1977074233040410e-01 +3.7090975781998662e-03
-1.3000000000000000e+00 +4.6458221848338619e+00 +0.0000000000000000e+00 -1.2999996048412219e+00 +2.8351861102436881e-02 -5.1977070192764696e-01 +3.7091404633928650e-03
-1.4000000000000001e+00 +4.6456819422089346e+00 +0.0000000000000000e+00 -1.3999995064562385e+00 +2.8351917616146621e-02 -5.1977065814381129e-01 +3.7091849402920221e-03
-1.5000000000000002e+00 +4.6455313112529018e+00 +0.0000000000000000e+00 -1.4999993929627837e+00 +2.8351967598842325e-02 -5.1977061121280055e-01 +3.7092311668531662e-03
-1.6000000000000003e+00 +4.6453702919683257e+00 +0.0000000000000000e+00 -1.5999992632816840e+00 +2.8352009984669128e-02 -5.1977056136858857e-01 +3.7092793010302530e-03
-1.7000000000000004e+00 +4.6451988843579413e+00 +0.0000000000000000e+00 -1.6999991163337658e+00 +2.8352043707678087e-02 -5.1977050884523734e-01 +3.7093295007804652e-03
-1.8000000000000005e+00 +4.6450170884246464e+00 +0.0000000000000000e+00 -1.7999989510398566e+00 +2.8352067701783046e-02 -5.1977045387691945e-01 +3.7093819240693465e-03
-1.9000000000000006e+00 +4.6448249041715020e+00 +0.0000000000000000e+00 -1.8999987663207847e+00 +2.8352080900717287e-02 -5.1977039669793612e-01 +3.7094367288759145e-03
-2.0000000000000004e+00 +4.6446223316017248e+00 +0.0000000000000000e+00 -1.9999985610973783e+00 +2.8352082237990354e-02 -5.1977033754273716e-01 +3.7094940731977992e-03
-2.1000000000000005e+00 +4.6444093707186820e+00 +0.0000000000000000e+00 -2.0999983342904671e+00 +2.8352070984470113e-02 -5.1977027667635345e-01 +3.7095540626737320e-03
-2.2000000000000006e+00 +4.6441860215258881e+00 +0.0000000000000000e+00 -2.1999980848208809e+00 +2.8352047761245475e-02 -5.1977021448564720e-01 +3.7096165934395399e-03
-2.3000000000000007e+00 +4.6439522840269953e+00 +0.0000000000000000e+00 -2.2999978116094502e+00 +2.8352013526622040e-02 -5.1977015138807536e-01 +3.7096815093007702e-03
-2.4000000000000008e+00 +4.6437081582257864e+00 +0.0000000000000000e+00 -2.3999975135770062e+00 +2.8351969238407548e-02 -5.1977008780128997e-01 +3.7097486541295128e-03
-2.5000000000000009e+00 +4.6434536441261667e+00 +0.0000000000000000e+00 -2.4999971896443816e+00 +2.8351915853858982e-02 -5.1977002414315432e-01 +3.7098178718722188e-03
-2.6000000000000010e+00 +4.6431887417321542e+00 +0.0000000000000000e+00 -2.5999968387324084e+00 +2.8351854329629798e-02 -5.1976996083175975e-01 +3.7098890065574998e-03
-2.7000000000000011e+00 +4.6429134510478720e+00 +0.0000000000000000e+00 -2.6999964597619206e+00 +2.8351785621717154e-02 -5.1976989828544196e-01 +3.7099619023039194e-03
-2.8000000000000012e+00 +4.6426277720775406e+00 +0.0000000000000000e+00 -2.7999960516537516e+00 +2.8351710685409284e-02 -5.1976983692279732e-01 +3.7100364033277708e-03
-2.9000000000000012e+00 +4.6423317048254686e+00 +0.0000000000000000e+00 -2.8999956133287368e+00 +2.8351630475232991e-02 -5.1976977716269879e-01 +3.7101123539508437e-03
-3.0000000000000013e+00 +4.6420252492960454e+00 +0.0000000000000000e+00 -2.9999951437077108e+00 +2.8351545944901271e-02 -5.1976971942431416e-01 +3.7101895986081769e-03
-3.1000000000000014e+00 +4.6417084054937305e+00 +0.0000000000000000e+00 -3.0999946417115098e+00 +2.8351458047260976e-02 -5.1976966412711978e-01 +3.7102679818557965e-03
-3.2000000000000015e+00 +4.6413811734230483e+00 +0.0000000000000000e+00 -3.1999941062609705e+00 +2.8351367734240719e-02 -5.1976961169091895e-01 +3.7103473483784378e-03
-3.3000000000000016e+00 +4.6410435530885774e+00 +0.0000000000000000e+00 -3.2999935362769293e+00 +2.8351275956798871e-02 -5.1976956253585704e-01 +3.7104275429972501e-03
-3.4000000000000017e+00 +4.6406955444949425e+00 +0.0000000000000000e+00 -3.3999929306802237e+00 +2.8351183664871708e-02 -5.1976951708243913e-01 +3.7105084106774846e-03
-3.5000000000000018e+00 +4.6403371476468074e+00 +0.0000000000000000e+00 -3.4999922883916916e+00 +2.8351091807321711e-02 -5.1976947575154431e-01 +3.7105897965361667e-03
-3.6000000000000019e+00 +4.6399683625488652e+00 +0.0000000000000000e+00 -3.5999916083321715e+00 +2.8351001331886047e-02 -5.1976943896444372e-01 +3.7106715458497439e-03
-3.7000000000000020e+00 +4.6395891892058305e+00 +0.0000000000000000e+00 -3.6999908894225015e+00 +2.8350913185125230e-02 -5.1976940714281561e-01 +3.7107535040617132e-03
-3.8000000000000020e+00 +4.6391996276224301e+00 +0.0000000000000000e+00 -3.7999901305835206e+00 +2.8350828312371932e-02 -5.1976938070876266e-01 +3.7108355167902356e-03
-3.9000000000000021e+00 +4.6387996778033953e+00 +0.0000000000000000e+00 -3.8999893307360676e+00 +2.8350747657680031e-02 -5.1976936008482677e-01 +3.7109174298357132e-03
-4.0000000000000018e+00 +4.6383893397534548e+00 +0.0000000000000000e+00 -3.9999884888009816e+00 +2.8350672163773821e-02 -5.1976934569400568e-01 +3.7109990891883620e-03
-4.1000000000000014e+00 +4.6379686134773230e+00 +0.0000000000000000e+00 -4.0999876036991019e+00 +2.8350602591887437e-02 -5.1976933777793122e-01 +3.7110803433900554e-03
