# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -3.0356240259463724e-01 +2.3762999357828421e-04 +1.7167961341373904e-02 +8.1141550471664896e+00 +2.6038050120458814e+02 -7.9101392864663990e+02 +1.1881263236718972e+06 
+1.0000000000000001e-01 -3.0356236460368136e-01 +2.3326882571190620e-04 +1.6312822603857444e-02 +8.2641983664514296e+00 +2.7241033713963202e+02 -1.6470146083528696e+03 +1.1312922016449713e+06 
+2.0000000000000001e-01 -3.0356232947725409e-01 +2.2855172271829977e-04 +1.5643593205340044e-02 +8.4183358389644862e+00 +2.8060616695693795e+02 -2.5077514722101200e+03 +1.0929759731770034e+06 
+3.0000000000000004e-01 -3.0356229704279880e-01 +2.2352493473185904e-04 +1.5152394029934896e-02 +8.5755177325096881e+00 +2.8521252972547904e+02 -3.3680053642220482e+03 +1.0719056047511699e+06 
+4.0000000000000002e-01 -3.0356226712774109e-01 +2.1823470671886706e-04 +1.4831344951722733e-02 +8.7346945146106414e+00 +2.8647397487216688e+02 -4.2225585246167539e+03 +1.0668090244361411e+06 
+5.0000000000000000e-01 -3.0356223955951511e-01 +2.1272727849920133e-04 +1.4672567780047547e-02 +8.8948168263509544e+00 +2.8463500975768204e+02 -5.0661943610805411e+03 +1.0764143602882484e+06 
+5.9999999999999998e-01 -3.0356221416554940e-01 +2.0704888543347024e-04 +1.4668184710707844e-02 +9.0548354435882423e+00 +2.7994012656425559e+02 -5.8936971691690524e+03 +1.0994498208601258e+06 
+6.9999999999999996e-01 -3.0356219077328533e-01 +2.0124575645828852e-04 +1.4810320310645726e-02 +9.2137013064730162e+00 +2.7263376838223724e+02 -6.6998522215490229e+03 +1.1346438452300620e+06 
+7.9999999999999993e-01 -3.0356216921017182e-01 +1.9536411487028560e-04 +1.5091100831323152e-02 +9.3703654809099746e+00 +2.6296034154960250e+02 -7.4794454935277945e+03 +1.1807250476069902e+06 
+8.9999999999999991e-01 -3.0356214930366998e-01 +1.8945018081004713e-04 +1.5502654767252865e-02 +9.5237790607714956e+00 +2.5116420608457989e+02 -8.2272630251898790e+03 +1.2364222595876539e+06 
+9.9999999999999989e-01 -3.0356213088126133e-01 +1.8355016801517912e-04 +1.6037113627914722e-02 +9.6728932396084932e+00 +2.3748966265718707e+02 -8.9380912663652471e+03 +1.3004645880325709e+06 
+1.0999999999999999e+00 -3.0356211377044984e-01 +1.7771028561978054e-04 +1.6686612253979549e-02 +9.8166592395995824e+00 +2.2218094676169292e+02 -9.6067166085690114e+03 +1.3715814423083374e+06 
+1.2000000000000000e+00 -3.0356209779876298e-01 +1.7197673913569797e-04 +1.7443288786234669e-02 +9.9540282575373613e+00 +2.0548223010077825e+02 -1.0227924997481046e+04 +1.4485025263066767e+06 
+1.3000000000000000e+00 -3.0356208279376473e-01 +1.6639572725707542e-04 +1.8299286251090122e-02 +1.0083951536527726e+01 +1.8763759175462522e+02 -1.0796502284298906e+04 +1.5299579713027729e+06 
+1.4000000000000001e+00 -3.0356206858304557e-01 +1.6101344696356157e-04 +1.9246751077368559e-02 +1.0205380197532508e+01 +1.6889104707192448e+02 -1.1307233189687533e+04 +1.6146781983296019e+06 
+1.5000000000000002e+00 -3.0356205499423683e-01 +1.5587608861841786e-04 +2.0277835088249197e-02 +1.0317265356238604e+01 +1.4948651020286610e+02 -1.1754901904091930e+04 +1.7013940937963999e+06 
+1.6000000000000003e+00 -3.0356204185501695e-01 +1.5102983868550755e-04 +2.1384695748185158e-02 +1.0418558027028517e+01 +1.2966779165672551e+02 -1.2134291479875972e+04 +1.7888370167818791e+06 
+1.7000000000000004e+00 -3.0356202899310053e-01 +1.4652088068810203e-04 +2.2559495172260843e-02 +1.0508209066734274e+01 +1.0967861630967248e+02 -1.2440183422820948e+04 +1.8757387148276861e+06 
+1.8000000000000005e+00 -3.0356201623625684e-01 +1.4239539269254314e-04 +2.3794402000934276e-02 +1.0585169232069603e+01 +8.9762589568965922e+01 -1.2667357976714389e+04 +1.9608314809172214e+06 
+1.9000000000000006e+00 -3.0356200341231537e-01 +1.3869954937631855e-04 +2.5081592207604014e-02 +1.0648389091236094e+01 +7.0163182908185917e+01 -1.2810593525345028e+04 +2.0428482189846924e+06 
+2.0000000000000004e+00 -3.0356199034915909e-01 +1.3547952579249031e-04 +2.6413248447161447e-02 +1.0696818793779707e+01 +5.1123725257689451e+01 -1.2864666112964987e+04 +2.1205224510495919e+06 
+2.1000000000000005e+00 -3.0356197689570880e-01 +1.3277530143721957e-04 +2.7780557405858448e-02 +1.0729479650076559e+01 +3.2860618610378488e+01 -1.2824952133076216e+04 +2.1927889906365415e+06 
+2.2000000000000006e+00 -3.0356196297563004e-01 +1.3059692318686890e-04 +2.9170415144828831e-02 +1.0746314156426275e+01 +1.5485812847637503e+01 -1.2692575561125906e+04 +2.2594127370462627e+06 
+2.3000000000000007e+00 -3.0356194852898560e-01 +1.2894538116601544e-04 +3.0568621887724086e-02 +1.0747668142334012e+01 -9.1981460880765531e-01 -1.2471041362834463e+04 +2.3204034468173413e+06 
+2.4000000000000008e+00 -3.0356193349584676e-01 +1.2782167569683374e-04 +3.1960978378583117e-02 +1.0733887425594212e+01 -1.6275418136540925e+01 -1.2163854482609018e+04 +2.3757710344185093e+06 
+2.5000000000000009e+00 -3.0356191781632341e-01 +1.2722682476983246e-04 +3.3333288975571494e-02 +1.0705317421355117e+01 -3.0500207732859693e+01 -1.1774518111068803e+04 +2.4255256560895992e+06 
+2.6000000000000010e+00 -3.0356190143053702e-01 +1.2716186807908728e-04 +3.4671357918794617e-02 +1.0662303055089705e+01 -4.3513376934600707e+01 -1.1306533283216642e+04 +2.4696773685570229e+06 
+2.7000000000000011e+00 -3.0356188427862840e-01 +1.2762786816074845e-04 +3.5960990449036147e-02 +1.0605188750894365e+01 -5.5234123567928926e+01 -1.0763398890993960e+04 +2.5082362273411844e+06 
+2.8000000000000012e+00 -3.0356186630075566e-01 +1.2862591222763227e-04 +3.7187992026183218e-02 +1.0534318406695499e+01 -6.5581632869711498e+01 -1.0148611636810134e+04 +2.5412122048489084e+06 
