# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +4.6467000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
1.0000000000000001e-01 +4.6466956860676039e+00 +0.0000000000000000e+00 +9.9999999875933263e-02 -8.6278647366997658e-05 +0.0000000000000000e+00 +9.9999999627799752e-01
2.0000000000000001e-01 +4.6466827442706480e+00 +0.0000000000000000e+00 +1.9999999900746604e-01 -1.7255729109198628e-04 +0.0000000000000000e+00 +9.9999998511199051e-01
3.0000000000000004e-01 +4.6466611746095241e+00 +0.0000000000000000e+00 +2.9999999665019794e-01 -2.5883593063819884e-04 +0.0000000000000000e+00 +9.9999996650197986e-01
4.0000000000000002e-01 +4.6466309770846781e+00 +0.0000000000000000e+00 +3.9999999205972864e-01 -3.4511456544649582e-04 +0.0000000000000000e+00 +9.9999994044796647e-01
5.0000000000000000e-01 +4.6465921516966118e+00 +0.0000000000000000e+00 +4.9999998449165789e-01 -4.3139319493534588e-04 +0.0000000000000000e+00 +9.9999990694995122e-01
5.9999999999999998e-01 +4.6465446984458882e+00 +0.0000000000000000e+00 +5.9999997320158549e-01 -5.1767181850080829e-04 +0.0000000000000000e+00 +9.9999986600793511e-01
6.9999999999999996e-01 +4.6464886173331301e+00 +0.0000000000000000e+00 +6.9999995744511156e-01 -6.0395043551651729e-04 +0.0000000000000000e+00 +9.9999981762191903e-01
7.9999999999999993e-01 +4.6464239083590249e+00 +0.0000000000000000e+00 +7.9999993647783607e-01 -6.9022904533366910e-04 +0.0000000000000000e+00 +9.9999976179190408e-01
8.9999999999999991e-01 +4.6463505715243256e+00 +0.0000000000000000e+00 +8.9999990955535913e-01 -7.7650764728101032e-04 +0.0000000000000000e+00 +9.9999969851789139e-01
9.9999999999999989e-01 +4.6462686068298540e+00 +0.0000000000000000e+00 +9.9999987593328110e-01 -8.6278624066482860e-04 +0.0000000000000000e+00 +9.9999962779988216e-01
1.0999999999999999e+00 +4.6461780142765017e+00 +0.0000000000000000e+00 +1.0999998348672024e+00 -9.4906482476894553e-04 +0.0000000000000000e+00 +9.9999954963787774e-01
1.2000000000000000e+00 +4.6460787938652341e+00 +0.0000000000000000e+00 +1.1999997856127236e+00 -1.0353433988547114e-03 +0.0000000000000000e+00 +9.9999946403187956e-01
1.3000000000000000e+00 +4.6459709455970906e+00 +0.0000000000000000e+00 +1.2999997274254453e+00 -1.1216219621610019e-03 +0.0000000000000000e+00 +9.9999937098188918e-01
1.4000000000000001e+00 +4.6458544694731874e+00 +0.0000000000000000e+00 +1.3999996595609685e+00 -1.2079005139042172e-03 +0.0000000000000000e+00 +9.9999927048790815e-01
1.5000000000000002e+00 +4.6457293654947218e+00 +0.0000000000000000e+00 +1.4999995812748941e+00 -1.2941790532782829e-03 +0.0000000000000000e+00 +9.9999916254993837e-01
1.6000000000000003e+00 +4.6455956336629720e+00 +0.0000000000000000e+00 +1.5999994918228233e+00 -1.3804575794546527e-03 +0.0000000000000000e+00 +9.9999904716798171e-01
1.7000000000000004e+00 +4.6454532739792995e+00 +0.0000000000000000e+00 +1.6999993904603576e+00 -1.4667360915823137e-03 +0.0000000000000000e+00 +9.9999892434204030e-01
1.8000000000000005e+00 +4.6453022864451530e+00 +0.0000000000000000e+00 +1.7999992764430985e+00 -1.5530145887877934e-03 +0.0000000000000000e+00 +9.9999879407211634e-01
1.9000000000000006e+00 +4.6451426710620689e+00 +0.0000000000000000e+00 +1.8999991490266481e+00 -1.6392930701751688e-03 +0.0000000000000000e+00 +9.9999865635821228e-01
2.0000000000000004e+00 +4.6449744278316754e+00 +0.0000000000000000e+00 +1.9999990074666083e+00 -1.7255715348260777e-03 +0.0000000000000000e+00 +9.9999851120033079e-01
2.1000000000000005e+00 +4.6447975567556927e+00 +0.0000000000000000e+00 +2.0999988510185816e+00 -1.8118499818000323e-03 +0.0000000000000000e+00 +9.9999835859847452e-01
2.2000000000000006e+00 +4.6446120578359364e+00 +0.0000000000000000e+00 +2.1999986789381709e+00 -1.8981284101377389e-03 +0.0000000000000000e+00 +9.9999819855264660e-01
2.3000000000000007e+00 +4.6444179310743188e+00 +0.0000000000000000e+00 +2.2999984904809789e+00 -1.9844068188644092e-03 +0.0000000000000000e+00 +9.9999803106285012e-01
2.4000000000000008e+00 +4.6442151764728505e+00 +0.0000000000000000e+00 +2.3999982849026087e+00 -2.0706852069900627e-03 +0.0000000000000000e+00 +9.9999785612908854e-01
2.5000000000000009e+00 +4.6440037940336412e+00 +0.0000000000000000e+00 +2.4999980614586645e+00 -2.1569635735095264e-03 +0.0000000000000000e+00 +9.9999767375136539e-01
2.6000000000000010e+00 +4.6437837837589031e+00 +0.0000000000000000e+00 +2.5999978194047499e+00 -2.2432419174024361e-03 +0.0000000000000000e+00 +9.9999748392968457e-01
2.7000000000000011e+00 +4.6435551456509501e+00 +0.0000000000000000e+00 +2.6999975579964697e+00 -2.3295202376332380e-03 +0.0000000000000000e+00 +9.9999728666404997e-01
2.8000000000000012e+00 +4.6433178797122006e+00 +0.0000000000000000e+00 +2.7999972764894285e+00 -2.4157985331511888e-03 +0.0000000000000000e+00 +9.9999708195446591e-01
2.9000000000000012e+00 +4.6430719859451788e+00 +0.0000000000000000e+00 +2.8999969741392317e+00 -2.5020768028903564e-03 +0.0000000000000000e+00 +9.9999686980093694e-01
3.0000000000000013e+00 +4.6428174643525173e+00 +0.0000000000000000e+00 +2.9999966502014850e+00 -2.5883550457696230e-03 +0.0000000000000000e+00 +9.9999665020346773e-01
3.1000000000000014e+00 +4.6425543149369570e+00 +0.0000000000000000e+00 +3.0999963039317944e+00 -2.6746332606926841e-03 +0.0000000000000000e+00 +9.9999642316206327e-01
3.2000000000000015e+00 +4.6422825377013481e+00 +0.0000000000000000e+00 +3.1999959345857665e+00 -2.7609114465480511e-03 +0.0000000000000000e+00 +9.9999618867672879e-01
3.3000000000000016e+00 +4.6420021326486536e+00 +0.0000000000000000e+00 +3.2999955414190092e+00 -2.8471896022090526e-03 +0.0000000000000000e+00 +9.9999594674746983e-01
3.4000000000000017e+00 +4.6417130997819509e+00 +0.0000000000000000e+00 +3.3999951236871300e+00 -2.9334677265338356e-03 +0.0000000000000000e+00 +9.9999569737429217e-01
3.5000000000000018e+00 +4.6414154391044304e+00 +0.0000000000000000e+00 +3.4999946806457372e+00 -3.0197458183653680e-03 +0.0000000000000000e+00 +9.9999544055720180e-01
3.6000000000000019e+00 +4.6411091506193998e+00 +0.0000000000000000e+00 +3.5999942115504400e+00 -3.1060238765314384e-03 +0.0000000000000000e+00 +9.9999517629620494e-01
3.7000000000000020e+00 +4.6407942343302855e+00 +0.0000000000000000e+00 +3.6999937156568481e+00 -3.1923018998446600e-03 +0.0000000000000000e+00 +9.9999490459130835e-01
3.8000000000000020e+00 +4.6404706902406323e+00 +0.0000000000000000e+00 +3.7999931922205716e+00 -3.2785798871024711e-03 +0.0000000000000000e+00 +9.9999462544251883e-01
3.9000000000000021e+00 +4.6401385183541075e+00 +0.0000000000000000e+00 +3.8999926404972221e+00 -3.3648578370871376e-03 +0.0000000000000000e+00 +9.9999433884984357e-01
4.0000000000000018e+00 +4.6397977186744992e+00 +0.0000000000000000e+00 +3.9999920597424112e+00 -3.4511357485657551e-03 +0.0000000000000000e+00 +9.9999404481329013e-01
4.1000000000000014e+00 +4.6394482912057198e+00 +0.0000000000000000e+00 +4.0999914492117515e+00 -3.5374136202933472e-03 +0.0000000000000000e+00 +9.9999374333286628e-01
4.2000000000000011e+00 +4.6390902359518060e+00 +0.0000000000000000e+00 +4.1999908081608561e+00 -3.6236914510469403e-03 +0.0000000000000000e+00 +9.9999343440858002e-01
4.3000000000000007e+00 +4.6387235529169146e+00 +0.0000000000000000e+00 +4.2999901358453396e+00 -3.7099692396596481e-03 +0.0000000000000000e+00 +9.9999311804043944e-01
4.4000000000000004e+00 +4.6383482421053159e+00 +0.0000000000000000e+00 +4.3999894315208161e+00 -3.7962469850237792e-03 +0.0000000000000000e+00 +9.9999279422845255e-01
4.5000000000000000e+00 +4.6379643035213869e+00 +0.0000000000000000e+00 +4.4999886944429024e+00 -3.8825246860908500e-03 +0.0000000000000000e+00 +9.9999246297262734e-01
4.5999999999999996e+00 +4.6375717371696075e+00 +0.0000000000000000e+00 +4.5999879238672143e+00 -3.9688023418715922e-03 +0.0000000000000000e+00 +9.9999212427297179e-01
4.6999999999999993e+00 +4.6371705430545536e+00 +0.0000000000000000e+00 +4.6999871190493696e+00 -4.0550799514359687e-03 +0.0000000000000000e+00 +9.9999177812949391e-01
4.7999999999999989e+00 +4.6367607211808899e+00 +0.0000000000000000e+00 +4.7999862792449859e+00 -4.1413575139131811e-03 +0.0000000000000000e+00 +9.9999142454220147e-01
