# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -4.3345597639817973e-01 +1.8298551435210926e-03 -2.8278614350606396e-01 +6.4960448695267958e+00 +6.5397815308607678e+03 -1.5081922885267404e+04 -2.3721082190065183e+07 
+1.0000000000000001e-01 -4.3345599751050506e-01 +1.8161604216796431e-03 -2.7963488968716671e-01 +6.6036354416077767e+00 +6.4921289471301025e+03 -1.5079674780922178e+04 -2.3542183577340156e+07 
+2.0000000000000001e-01 -4.3345601730383415e-01 +1.8041212976438320e-03 -2.7665360607589828e-01 +6.6750046918790495e+00 +6.4459234355439485e+03 -1.4907616360015800e+04 -2.3365898000904251e+07 
+3.0000000000000004e-01 -4.3345603573046582e-01 +1.7936640485500133e-03 -2.7383662791195468e-01 +6.7130648851427042e+00 +6.4011741714286036e+03 -1.4583044092909822e+04 -2.3192452177323740e+07 
+4.0000000000000002e-01 -4.3345605274280419e-01 +1.7847149655073995e-03 -2.7117828170793512e-01 +6.7207280377811367e+00 +6.3578902055237895e+03 -1.4123253741331302e+04 -2.3022072335489687e+07 
+5.0000000000000000e-01 -4.3345606829332473e-01 +1.7772003586829189e-03 -2.6867288931085720e-01 +6.7009057467040920e+00 +6.3160805368348265e+03 -1.3545539305048607e+04 -2.2854984541296024e+07 
+5.9999999999999998e-01 -4.3345608233458116e-01 +1.7710465507504122e-03 -2.6631476763177092e-01 +6.6565093483445512e+00 +6.2757541061590882e+03 -1.2867193843676003e+04 -2.2691414653772432e+07 
+6.9999999999999996e-01 -4.3345609481917652e-01 +1.7661798785176864e-03 -2.6409823234833757e-01 +6.5904498433806618e+00 +6.2369198640244967e+03 -1.2105508960337846e+04 -2.2531588631538916e+07 
+7.9999999999999993e-01 -4.3345610569976084e-01 +1.7625266906979298e-03 -2.6201759817482817e-01 +6.5056379236683908e+00 +6.1995867710284056e+03 -1.1277774845684382e+04 -2.2375732513034001e+07 
+8.9999999999999991e-01 -4.3345611492902764e-01 +1.7600133475203135e-03 -2.6006717977606975e-01 +6.4049839687403427e+00 +6.1637638143653903e+03 -1.0401280213871707e+04 -2.2224072482752699e+07 
+9.9999999999999989e-01 -4.3345612245968701e-01 +1.7585662180884716e-03 -2.5824129513258504e-01 +6.2913980797334270e+00 +6.1294600684480638e+03 -9.4933123697615374e+03 -2.2076835141508855e+07 
+1.0999999999999999e+00 -4.3345612824447227e-01 +1.7581116804245892e-03 -2.5653426504233173e-01 +6.1677900566551900e+00 +6.0966846820903338e+03 -8.5711570149676645e+03 -2.1934247426668152e+07 
+1.2000000000000000e+00 -4.3345613223611834e-01 +1.7585761204746083e-03 -2.5494041584331645e-01 +6.0370693932719215e+00 +6.0654469284792158e+03 -7.6520981177832891e+03 -2.1796536836151846e+07 
+1.3000000000000000e+00 -4.3345613438735647e-01 +1.7598859294808312e-03 -2.5345408032555272e-01 +5.9021453264601851e+00 +6.0357562180207879e+03 -6.7534181186394007e+03 -2.1663931467500173e+07 
+1.4000000000000001e+00 -4.3345613465090077e-01 +1.7619675038763236e-03 -2.5206959968848675e-01 +5.7659268098969196e+00 +6.0076221351512904e+03 -5.8923976899047684e+03 -2.1536660182934768e+07 
+1.5000000000000002e+00 -4.3345613297943658e-01 +1.7647472436253494e-03 -2.5078132501762201e-01 +5.6313225304183430e+00 +5.9810544608004957e+03 -5.0863157363631599e+03 -2.1414952690860312e+07 
+1.6000000000000003e+00 -4.3345612932561423e-01 +1.7681515507555418e-03 -2.4958361848416649e-01 +5.5012409224126788e+00 +5.9560631957292217e+03 -4.3524493957418090e+03 -2.1299039649681374e+07 
+1.7000000000000004e+00 -4.3345612364203856e-01 +1.7721068303893019e-03 -2.4847085460246784e-01 +5.3785901122391380e+00 +5.9326585785232746e+03 -3.7080736393378247e+03 -2.1189152728183128e+07 
+1.8000000000000005e+00 -4.3345611588125221e-01 +1.7765394853525628e-03 -2.4743742261587462e-01 +5.2662780358597914e+00 +5.9108511297725217e+03 -3.1704618388100057e+03 -2.1085524802469462e+07 
